SCHEMECODE,S_NAME,CATEGORY_CODE,CATEGORY_NAME,_3Rt,std,INCRET
"5184","Aditya Birla SL Banking & PSU Debt Fund(IDCW)","72","Debt - Banking and PSU Fund","7.5","1.3","7.7"
"18303","Aditya Birla SL Banking & PSU Debt Fund(IDCW)-Direct Plan","72","Debt - Banking and PSU Fund","7.9","1.4","7.8"
"43447","Aditya Birla SL Banking & PSU Debt Fund(IDCW-Reinv)","72","Debt - Banking and PSU Fund","7.5","1.3","7.7"
"5183","Aditya Birla SL Banking & PSU Debt Fund(G)","72","Debt - Banking and PSU Fund","7.5","1.3","7.8"
"43448","Aditya Birla SL Banking & PSU Debt Fund(IDCW-Reinv)-Direct Plan","72","Debt - Banking and PSU Fund","7.9","1.4","7.8"
"18304","Aditya Birla SL Banking & PSU Debt Fund(G)-Direct Plan","72","Debt - Banking and PSU Fund","7.9","1.4","8.4"
"18305","Aditya Birla SL Banking & PSU Debt Fund(Q-IDCW)-Direct Plan","72","Debt - Banking and PSU Fund","7.9","1.4","7.2"
"5185","Aditya Birla SL Banking & PSU Debt Fund(Q-IDCW)","72","Debt - Banking and PSU Fund","7.5","1.3","6.9"
"18302","Aditya Birla SL Banking & PSU Debt Fund(M-IDCW)-Direct Plan","72","Debt - Banking and PSU Fund","7.9","1.4","7.2"
"6827","Aditya Birla SL Banking & PSU Debt Fund(M-IDCW)","72","Debt - Banking and PSU Fund","7.5","1.4","6.9"
"484","Aditya Birla SL Banking & PSU Debt Fund-Ret(G)","72","Debt - Banking and PSU Fund","7.5","1.3","7.6"
"7050","Aditya Birla SL Banking & PSU Debt Fund-Ret(M-IDCW)","72","Debt - Banking and PSU Fund","7.7","1.4","6.8"
"483","Aditya Birla SL Banking & PSU Debt Fund-Ret(Q-IDCW)","72","Debt - Banking and PSU Fund","7.6","1.4","6.8"
"19318","Axis Banking & PSU Debt Fund(DD-IDCW)-Direct Plan","72","Debt - Banking and PSU Fund","7.6","1.2","6.6"
"20094","Axis Banking & PSU Debt Fund(M-IDCW)-Direct Plan","72","Debt - Banking and PSU Fund","7.6","1.2","6.6"
"18182","Axis Banking & PSU Debt Fund(G)-Direct Plan","72","Debt - Banking and PSU Fund","7.6","1.2","7.9"
"20093","Axis Banking & PSU Debt Fund(W-IDCW)-Direct Plan","72","Debt - Banking and PSU Fund","7.6","1.2","6.2"
"16904","Axis Banking & PSU Debt Fund-Reg(DD-IDCW)","72","Debt - Banking and PSU Fund","7.3","1.2","6.5"
"16903","Axis Banking & PSU Debt Fund-Reg(G)","72","Debt - Banking and PSU Fund","7.3","1.2","7.7"
"17005","Axis Banking & PSU Debt Fund-Reg(M-IDCW)","72","Debt - Banking and PSU Fund","7.3","1.2","6.4"
"16905","Axis Banking & PSU Debt Fund-Reg(W-IDCW)","72","Debt - Banking and PSU Fund","7.3","1.2","6.4"
"48308","Bajaj Finserv Banking and PSU Fund(G)-Direct Plan","72","Debt - Banking and PSU Fund","","1.6","8.7"
"48309","Bajaj Finserv Banking and PSU Fund(IDCW)-Direct Plan","72","Debt - Banking and PSU Fund","","1.6","8.7"
"48310","Bajaj Finserv Banking and PSU Fund(M-IDCW)-Direct Plan","72","Debt - Banking and PSU Fund","","1.6","8.7"
"48214","Bajaj Finserv Banking and PSU Fund-Reg(G)","72","Debt - Banking and PSU Fund","","1.6","8.1"
"48306","Bajaj Finserv Banking and PSU Fund-Reg(IDCW)","72","Debt - Banking and PSU Fund","","1.6","8.1"
"48307","Bajaj Finserv Banking and PSU Fund-Reg(M-IDCW)","72","Debt - Banking and PSU Fund","","1.6","8.1"
"21152","Bandhan Banking and PSU Fund(A-IDCW)-Direct Plan","72","Debt - Banking and PSU Fund","7.9","1.1","6.4"
