DATE,WEIGHTAGE,NIFTY 50,Smart SIP
04-01-2008,100,100,100
05-01-2008,105,103.2,105.4522765
06-01-2008,95,91.4,94.57169597
07-01-2008,87,84.6,85.93918511
08-01-2008,93,90.7,92.40734013
09-01-2008,88,86.8,87.01455446
10-01-2008,70,66.3,67.83471879
11-01-2008,62,58.3,59.44324901
12-01-2008,64,59.6,61.53263246
01-01-2009,63,58.9,60.4872103
02-01-2009,62,58.3,59.44324901
03-01-2009,59,57.7,56.32034853
04-01-2009,72,69.4,69.9462239
05-01-2009,86,81.1,84.86490412
06-01-2009,97,92,96.74006988
07-01-2009,98,90.2,97.82573987
08-01-2009,104,95.2,104.3599549
09-01-2009,111,101.3,112.0251887
10-01-2009,115,104.2,116.4246622
11-01-2009,118,102.9,119.7331524
12-01-2009,122,106.4,124.1559842
01-01-2010,125,107.2,127.4815257
02-01-2010,120,101,121.9429448
03-01-2010,126,108,128.5916113
04-01-2010,131,110.6,134.1535755
05-01-2010,126,105.7,128.5916113
06-01-2010,130,108.7,133.0396627
07-01-2010,135,112.5,138.6166685
08-01-2010,139,114.6,143.091428
09-01-2010,147,121.8,152.0747363
10-01-2010,150,128.2,155.4547264
11-01-2010,150,127.2,155.4547264
12-01-2010,146,125.7,150.9494166
01-01-2011,141,121.8,145.3330862
02-01-2011,131,113.7,134.1535755
03-01-2011,133,116.6,136.3836439
04-01-2011,141,123.2,145.3330862
05-01-2011,135,116.3,138.6166685
06-01-2011,135,115.8,138.6166685
07-01-2011,139,118.8,143.091428
08-01-2011,128,107.3,130.8141063
09-01-2011,125,106.7,127.4815257
10-01-2011,126,107.7,128.5916113
11-01-2011,125,107,127.4815257
12-01-2011,119,102.1,120.8376396
01-01-2012,121,105.2,123.0490617
02-01-2012,133,115.5,136.3836439
03-01-2012,133,113.1,136.3836439
04-01-2012,133,112.3,136.3836439
05-01-2012,125,106.1,127.4815257
06-01-2012,128,108.8,130.8141063
07-01-2012,134,112.3,137.4997892
08-01-2012,134,114.8,137.4997892
09-01-2012,138,118.6,141.9716615
10-01-2012,145,122.7,149.8247757
11-01-2012,146,122.4,150.9494166
12-01-2012,151,127.1,156.5827198
01-01-2013,155,130.1,161.1012367
02-01-2013,151,127.4,156.5827198
03-01-2013,146,124.7,150.9494166
04-01-2013,143,123.3,147.5775473
05-01-2013,151,131,156.5827198
06-01-2013,143,126,147.5775473
07-01-2013,146,128.8,150.9494166
08-01-2013,139,120.5,143.091428
09-01-2013,145,126.5,149.8247757
10-01-2013,154,132.6,159.9706338
11-01-2013,157,133.9,163.3643672
12-01-2013,161,136.5,167.8982226
01-01-2014,161,136.1,167.8982226
02-01-2014,159,133.5,165.6300388
03-01-2014,169,142.4,176.9955186
04-01-2014,177,147.9,186.1308445
05-01-2014,189,154.7,199.9017376
06-01-2014,208,165.5,221.8620217
07-01-2014,211,169.1,225.3460536
08-01-2014,214,171.8,228.8344521
09-01-2014,225,177.9,241.6617197
10-01-2014,223,175.3,239.325297
11-01-2014,237,185.9,255.718186
12-01-2014,237,183.5,255.718186
01-01-2015,245,188.7,265.1242646
02-01-2015,249,193.7,269.8375166
03-01-2015,249,191.9,269.8375166
04-01-2015,248,189.4,268.658574
05-01-2015,241,183.9,260.4177868
06-01-2015,238,182.1,256.8924358
07-01-2015,249,189,269.8375166
08-01-2015,249,185.8,269.8375166
09-01-2015,235,174.6,253.3709973
10-01-2015,243,182.3,262.7701726
11-01-2015,240,176.3,259.2422379
12-01-2015,240,174.1,259.2422379
01-01-2016,231,168.8,248.6819111
02-01-2016,216,160.9,231.1624495
03-01-2016,224,169.4,240.4932786
04-01-2016,236,174.5,254.5443726
05-01-2016,238,176.4,256.8924358
06-01-2016,246,184.1,266.3019464
07-01-2016,260,191.5,282.8330901
08-01-2016,270,195.2,294.6894174
09-01-2016,279,198.8,305.3932851
10-01-2016,284,196,311.3530995
11-01-2016,268,186.8,292.3150094
12-01-2016,262,183.8,285.2011913
01-01-2017,272,190.1,297.0653753
02-01-2017,287,199.9,314.9334382
03-01-2017,292,205.1,320.9079839
04-01-2017,307,209,338.8851888
05-01-2017,314,214.2,347.3013073
06-01-2017,318,218.9,352.117968
07-01-2017,328,224.6,364.1828524
08-01-2017,328,226.3,364.1828524
09-01-2017,332,228.4,369.0179431
10-01-2017,341,231.8,379.915586
11-01-2017,352,237,393.2693201
12-01-2017,358,237,400.5687601
01-01-2018,374,247.4,420.0862249
02-01-2018,361,241.9,404.222535
03-01-2018,352,235.2,393.2693201
04-01-2018,364,241.1,407.8789857
05-01-2018,363,245.6,406.6598727
06-01-2018,357,248.3,399.3514333
07-01-2018,354,254.4,395.7012581
08-01-2018,370,266.4,415.1998348
09-01-2018,363,262.9,406.6598727
10-01-2018,335,241.1,372.6476338
11-01-2018,345,246.6,384.7671624
12-01-2018,348,250.7,388.4091013
01-01-2019,348,251.5,388.4091013
02-01-2019,340,252.3,378.7034727
03-01-2019,360,263.4,403.0043117
04-01-2019,366,272.6,410.3180962
05-01-2019,361,270.5,404.222535
06-01-2019,365,276.9,409.0983938
07-01-2019,355,270,396.9176815
08-01-2019,334,258.3,371.4374174
09-01-2019,342,261.9,381.1280124
10-01-2019,349,269.9,389.6236968
11-01-2019,360,281.6,403.0043117
12-01-2019,360,285.3,403.0043117
01-01-2020,371,287.7,416.420998
02-01-2020,373,281.4,418.8641938
03-01-2020,295,225.7,324.4970497
04-01-2020,278,211.9,304.2024456
05-01-2020,281,219.2,307.7760912
06-01-2020,308,239.9,340.0864656
07-01-2020,326,258.2,361.7672504
08-01-2020,349,268.6,389.6236968
09-01-2020,352,269.4,393.2693201
10-01-2020,359,279.7,401.7863865
11-01-2020,383,300.4,431.0973762
12-01-2020,418,323,474.1311588
01-01-2021,442,339.3,503.8258228
02-01-2021,465,356.2,532.4169687
03-01-2021,470,353.9,538.6491565
04-01-2021,471,349.1,539.8962971
05-01-2021,497,357.4,572.4025477
06-01-2021,529,377.1,612.6157235
07-01-2021,551,378.8,640.3876973
08-01-2021,565,395.5,658.111957
09-01-2021,598,421.1,700.0423082
10-01-2021,621,432.9,729.3879931
11-01-2021,615,426.9,721.7232171
12-01-2021,602,413.9,705.1388711
01-01-2022,622,426.9,730.6660918
02-01-2022,596,415.6,697.4951515
03-01-2022,578,407.3,674.604901
04-01-2022,601,421.3,703.8644499
05-01-2022,553,394.4,642.9173293
06-01-2022,541,386.8,627.7517226
07-01-2022,563,396.9,655.5775279
08-01-2022,601,428.7,703.8644499
09-01-2022,615,427.9,721.7232171
